ID_SCHOOL,TREATED,ID_STUDENT,FEMALE,AGE,LANGUAGE_SCORE_STD
42001,0,42001000001,1,12,-0.039
42001,0,42001000002,0,10,1.947
42001,0,42001000003,1,11,0.038
42001,0,42001000004,1,11,-0.041
42001,0,42001000005,0,11,0.384
42001,0,42001000006,0,11,1.468
42001,0,42001000007,0,11,-1.534
42001,0,42001000008,1,10,-1.243
42001,0,42001000009,1,10,-0.661
42001,0,42001000010,1,11,0.315
42001,0,42001000011,1,11,-0.51
42001,0,42001000012,1,11,0.327
42001,0,42001000013,1,11,-0.566
42001,0,42001000014,0,11,-0.667
42001,0,42001000015,0,11,-0.999
42001,0,42001000016,0,10,-0.463
42001,0,42001000017,1,11,0.688
42001,0,42001000018,0,12,1.64
42001,0,42001000019,0,11,0.26
42001,0,42001000020,0,11,1.279
42001,0,42001000021,0,12,-0.572
42001,0,42001000022,1,10,-0.345
42001,0,42001000023,1,11,-1.845
42001,0,42001000024,0,11,0.267
42002,1,42002000025,1,11,-0.172
42002,1,42002000026,0,11,0.921
42002,1,42002000027,0,11,-0.686
42002,1,42002000028,1,11,1.514
42002,1,42002000029,0,11,1.805
42002,1,42002000030,0,11,-0.29
42002,1,42002000031,0,11,0.345
42002,1,42002000032,0,11,1.245
42002,1,42002000033,1,11,1.561
42002,1,42002000034,0,11,0.257
42002,1,42002000035,0,11,1.028
42002,1,42002000036,0,11,0.36
42002,1,42002000037,1,10,1.011
42002,1,42002000038,1,11,2.526
42002,1,42002000039,1,11,0.148
42002,1,42002000040,1,11,0.447
42002,1,42002000041,0,11,0.394
42002,1,42002000042,0,11,0.126
42002,1,42002000043,1,11,-1.445
42002,1,42002000044,0,11,0.669
42002,1,42002000045,0,10,-2.442
42002,1,42002000046,1,12,-0.518
42002,1,42002000047,1,11,0.481
42002,1,42002000048,1,11,-0.767
42002,1,42002000049,0,11,-0.782
42002,1,42002000050,0,11,-1.46
42002,1,42002000051,0,11,-1.953
42002,1,42002000052,1,11,-0.304
42002,1,42002000053,1,11,1.376
42002,1,42002000054,0,11,-0.303
42002,1,42002000055,0,11,0.157
42002,1,42002000056,0,12,-0.028
42002,1,42002000057,0,11,-1.136
42002,1,42002000058,1,12,-0.873
42002,1,42002000059,1,11,0.371
42002,1,42002000060,1,11,1.718
42002,1,42002000061,1,12,0.954
42002,1,42002000062,1,11,-0.664
42002,1,42002000063,1,10,0.777
42002,1,42002000064,1,10,0.857
42002,1,42002000065,1,11,0.075
42002,1,42002000066,0,11,0.961
42002,1,42002000067,1,11,0.11
42003,0,42003000068,1,9,1.201
42003,0,42003000069,0,11,-1.185
42003,0,42003000070,1,10,-0.898
42003,0,42003000071,0,11,-1.262
42003,0,42003000072,1,11,0.245
42003,0,42003000073,1,10,-1.261
42003,0,42003000074,0,11,-0.234
42003,0,42003000075,1,11,0.799
42003,0,42003000076,1,11,0.064
42003,0,42003000077,0,11,1.959
42003,0,42003000078,1,11,1.116
42003,0,42003000079,1,10,0.691
42003,0,42003000080,0,11,0.052
42003,0,42003000081,1,11,-0.42
42003,0,42003000082,1,11,-0.738
42003,0,42003000083,1,11,0.643
42003,0,42003000084,1,10,0.211
42003,0,42003000085,1,12,1.595
42003,0,42003000086,0,11,0.38
42003,0,42003000087,1,10,-0.384
42003,0,42003000088,1,10,0.173
42003,0,42003000089,1,11,-0.401
42003,0,42003000090,0,11,-0.078
42003,0,42003000091,0,11,0.987
42003,0,42003000092,1,12,0.056
42003,0,42003000093,1,11,1.68
42003,0,42003000094,1,12,1.316
42003,0,42003000095,0,12,1.955
42003,0,42003000096,1,11,0.005
42003,0,42003000097,1,11,0.812
42003,0,42003000098,0,11,1.248
42003,0,42003000099,1,12,1.147
42003,0,42003000100,1,11,-0.747
42003,0,42003000101,0,12,-0.525
42003,0,42003000102,1,11,-1.56
42003,0,42003000103,0,11,0.606
42003,0,42003000104,1,11,0.841
42003,0,42003000105,0,10,-0.873
42003,0,42003000106,1,11,0.039
42003,0,42003000107,1,12,0.598
42003,0,42003000108,1,11,-0.691
42003,0,42003000109,1,11,-0.468
42003,0,42003000110,1,11,-0.331
42003,0,42003000111,1,11,-0.389
42003,0,42003000112,1,10,0.082
42003,0,42003000113,1,11,-0.141
42003,0,42003000114,0,12,1.672
42003,0,42003000115,1,11,-0.215
42003,0,42003000116,0,11,1.102
42004,1,42004000117,1,10,0.387
42004,1,42004000118,1,11,1.554
42004,1,42004000119,1,11,-1.739
42004,1,42004000120,1,11,-0.337
42004,1,42004000121,0,11,-1.467
42004,1,42004000122,1,11,1.237
42004,1,42004000123,0,11,0.85
42004,1,42004000124,0,11,0.658
42004,1,42004000125,0,11,1.308
42004,1,42004000126,0,11,1.022
42004,1,42004000127,0,10,0.566
42004,1,42004000128,0,10,-0.21
42004,1,42004000129,1,11,-1.473
42004,1,42004000130,1,11,0.981
42004,1,42004000131,1,11,-1.617
42004,1,42004000132,1,11,-0.485
42004,1,42004000133,1,12,0.127
42004,1,42004000134,0,11,1.334
42004,1,42004000135,1,11,-0.315
42004,1,42004000136,1,11,2.119
42004,1,42004000137,1,11,-0.095
42004,1,42004000138,1,11,-1.287
42004,1,42004000139,0,10,-1.596
42004,1,42004000140,1,11,0.395
42004,1,42004000141,1,11,-1.395
42004,1,42004000142,1,10,-1.26
42004,1,42004000143,1,10,0.644
42004,1,42004000144,0,10,0.204
42004,1,42004000145,0,11,0.266
42004,1,42004000146,1,11,0.93
42004,1,42004000147,1,11,-0.035
42004,1,42004000148,0,10,-0.797
42004,1,42004000149,1,11,-0.185
42004,1,42004000150,1,11,0.672
42004,1,42004000151,1,11,0.575
42004,1,42004000152,1,11,2.586
42004,1,42004000153,0,11,-0.257
42004,1,42004000154,0,12,1.027
42004,1,42004000155,0,11,-0.426
42004,1,42004000156,1,10,0.034
42004,1,42004000157,0,10,0.031
42004,1,42004000158,1,11,-0.401
42005,1,42005000159,1,11,0.665
42005,1,42005000160,1,11,-2.375
42005,1,42005000161,1,11,-0.503
42005,1,42005000162,0,11,1.426
42005,1,42005000163,0,12,-1.772
42005,1,42005000164,1,12,-0.886
42005,1,42005000165,0,11,0.917
42005,1,42005000166,0,11,0.816
42005,1,42005000167,0,11,-1.324
42005,1,42005000168,0,11,0.723
42005,1,42005000169,0,12,-0.717
